   Compiling btc5m-bot v0.1.0 (/Users/azharuddinarrosis/Developments/poly/btc5m-v02/bot)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 3.52s
     Running `target/debug/btc5m-bot`
[INIT] No state.json found, starting fresh
BTC 5m Forward Bot API running on http://0.0.0.0:8082
[REALTIME] 1776334800 | UP: 72.0c | DOWN: 27.0c | T-283s | ACTIVE
[AUTO] 🔥 EXECUTED Yes order for btc-updown-5m-1776334800 at 72.0%
[REALTIME] 1776335100 | UP: 50.0c | DOWN: 49.0c | T-583s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-883s | ACTIVE
[REALTIME] 1776334800 | UP: 72.0c | DOWN: 27.0c | T-282s | ACTIVE
[REALTIME] 1776335100 | UP: 50.0c | DOWN: 49.0c | T-582s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-882s | ACTIVE
[REALTIME] 1776334800 | UP: 72.0c | DOWN: 27.0c | T-282s | ACTIVE
[REALTIME] 1776335100 | UP: 50.0c | DOWN: 48.0c | T-582s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-882s | ACTIVE
[REALTIME] 1776334800 | UP: 72.0c | DOWN: 27.0c | T-281s | ACTIVE
[REALTIME] 1776335100 | UP: 50.0c | DOWN: 48.0c | T-581s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-881s | ACTIVE
[REALTIME] 1776334800 | UP: 73.0c | DOWN: 26.0c | T-281s | ACTIVE
[REALTIME] 1776335100 | UP: 50.0c | DOWN: 48.0c | T-581s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-881s | ACTIVE
[REALTIME] 1776334800 | UP: 74.0c | DOWN: 25.0c | T-280s | ACTIVE
[REALTIME] 1776335100 | UP: 50.0c | DOWN: 48.0c | T-580s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-880s | ACTIVE
[REALTIME] 1776334800 | UP: 74.0c | DOWN: 25.0c | T-280s | ACTIVE
[REALTIME] 1776335100 | UP: 50.0c | DOWN: 48.0c | T-580s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-880s | ACTIVE
[REALTIME] 1776334800 | UP: 74.0c | DOWN: 25.0c | T-279s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-579s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-879s | ACTIVE
[REALTIME] 1776334800 | UP: 74.0c | DOWN: 25.0c | T-279s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-579s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-879s | ACTIVE
[REALTIME] 1776334800 | UP: 74.0c | DOWN: 25.0c | T-278s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-578s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-878s | ACTIVE
[REALTIME] 1776334800 | UP: 74.0c | DOWN: 24.0c | T-278s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-578s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-878s | ACTIVE
